Labels,T20_100ms_flipped,
1.296E008,2.156E+5,
1.3E08,2.074E+5,
1.304E008,1.995E+5,
1.308E008,1.915E+5,
1.312E008,1.838E+5,
1.316E008,1.769E+5,
1.32E08,1.697E+5,
1.324E008,1.635E+5,
1.328E008,1.566E+5,
1.332E008,1.507E+5,
1.336E008,1.453E+5,
1.34E08,1.392E+5,
1.344E008,1.335E+5,
1.348E008,1.291E+5,
1.352E008,1.239E+5,
1.356E008,1.182E+5,
1.36E08,1.141E+5,
1.364E008,1.094E+5,
1.368E008,1.050E+5,
1.372E008,1.014E+5,
1.376E008,9.689E+4,
1.38E08,9.348E+4,
1.384E008,8.984E+4,
1.388E008,8.657E+4,
1.392E008,8.278E+4,
1.396E008,7.984E+4,
1.4E08,7.663E+4,
1.404E008,7.367E+4,
1.408E008,7.130E+4,
1.412E008,6.840E+4,
1.416E008,6.576E+4,
1.42E08,6.379E+4,
1.424E008,6.104E+4,
1.428E008,5.875E+4,
1.432E008,5.671E+4,
1.436E008,5.457E+4,
1.44E08,5.282E+4,
1.444E008,5.077E+4,
1.448E008,4.913E+4,
1.452E008,4.758E+4,
1.456E008,4.554E+4,
1.46E08,4.428E+4,
1.464E008,4.229E+4,
1.468E008,4.113E+4,
1.472E008,3.972E+4,
1.476E008,3.822E+4,
1.48E08,3.722E+4,
1.484E008,3.568E+4,
1.488E008,3.465E+4,
1.492E008,3.361E+4,
1.496E008,3.217E+4,
1.5E08,3.143E+4,
1.504E008,3.041E+4,
1.508E008,2.907E+4,
1.512E008,2.870E+4,
1.516E008,2.754E+4,
1.52E08,2.661E+4,
1.524E008,2.615E+4,
1.528E008,2.479E+4,
1.532E008,2.437E+4,
1.536E008,2.414E+4,
1.54E08,2.306E+4,
1.544E008,2.238E+4,
1.548E008,2.182E+4,
1.552E008,2.129E+4,
1.556E008,2.069E+4,
1.56E08,2.037E+4,
1.564E008,1.959E+4,
1.568E008,1.903E+4,
1.572E008,1.881E+4,
1.576E008,1.829E+4,
1.58E08,1.779E+4,
1.584E008,1.740E+4,
1.588E008,1.707E+4,
1.592E008,1.668E+4,
1.596E008,1.630E+4,
1.6E08,1.584E+4,
1.604E008,1.585E+4,
1.608E008,1.531E+4,
1.612E008,1.478E+4,
1.616E008,1.470E+4,
1.62E08,1.457E+4,
1.624E008,1.434E+4,
1.628E008,1.390E+4,
1.632E008,1.364E+4,
1.636E008,1.353E+4,
1.64E08,1.316E+4,
1.644E008,1.306E+4,
1.648E008,1.262E+4,
1.652E008,1.262E+4,
1.656E008,1.249E+4,
1.66E08,1.221E+4,
1.664E008,1.220E+4,
1.668E008,1.175E+4,
1.672E008,1.165E+4,
1.676E008,1.176E+4,
1.68E08,1.159E+4,
1.684E008,1.131E+4,
1.688E008,1.112E+4,
1.692E008,1.115E+4,
1.696E008,1.091E+4,
1.7E08,1.052E+4,
1.704E008,1.065E+4,
1.708E008,1.063E+4,
1.712E008,1.043E+4,
1.716E008,1.044E+4,
1.72E08,1.024E+4,
1.724E008,1.016E+4,
1.728E008,1.002E+4,
1.732E008,1.012E+4,
1.736E008,9.920E+3,
1.74E08,9.887E+3,
1.744E008,9.953E+3,
1.748E008,9.588E+3,
1.752E008,9.635E+3,
1.756E008,9.532E+3,
1.76E08,9.368E+3,
1.764E008,9.506E+3,
1.768E008,9.489E+3,
1.772E008,9.203E+3,
1.776E008,9.338E+3,
1.78E08,9.238E+3,
1.784E008,9.103E+3,
1.788E008,9.233E+3,
1.792E008,8.919E+3,
1.796E008,8.985E+3,
1.8E08,8.967E+3,
1.804E008,8.886E+3,
1.808E008,8.810E+3,
1.812E008,8.935E+3,
1.816E008,8.872E+3,
1.82E08,8.789E+3,
1.824E008,8.860E+3,
1.828E008,8.529E+3,
1.832E008,8.895E+3,
1.836E008,8.745E+3,
1.84E08,8.723E+3,
1.844E008,8.750E+3,
1.848E008,8.766E+3,
1.852E008,8.540E+3,
1.856E008,8.679E+3,
1.86E08,8.688E+3,
1.864E008,8.622E+3,
1.868E008,8.599E+3,
1.872E008,8.449E+3,
1.876E008,8.304E+3,
1.88E08,8.573E+3,
1.884E008,8.437E+3,
1.888E008,8.502E+3,
1.892E008,8.457E+3,
1.896E008,8.310E+3,
1.9E08,8.391E+3,
1.904E008,8.136E+3,
1.908E008,8.336E+3,
1.912E008,8.572E+3,
1.916E008,8.362E+3,
1.92E08,8.401E+3,
1.924E008,8.283E+3,
1.928E008,8.290E+3,
1.932E008,8.101E+3,
1.936E008,8.379E+3,
1.94E08,8.426E+3,
1.944E008,8.284E+3,
1.948E008,8.123E+3,
1.952E008,8.215E+3,
1.956E008,8.371E+3,
1.96E08,8.395E+3,
1.964E008,8.213E+3,
1.968E008,7.998E+3,
1.972E008,8.310E+3,
1.976E008,8.275E+3,
1.98E08,8.498E+3,
1.984E008,8.078E+3,
1.988E008,8.269E+3,
1.992E008,8.118E+3,
1.996E008,8.178E+3,
2E08,8.162E+3,
2.004E008,7.979E+3,
2.008E008,8.316E+3,
2.012E008,8.240E+3,
2.016E008,8.257E+3,
2.02E08,8.141E+3,
2.024E008,8.085E+3,
2.028E008,8.183E+3,
2.032E008,8.112E+3,
2.036E008,8.133E+3,
2.04E08,8.064E+3,
2.044E008,7.939E+3,
2.048E008,8.021E+3,
2.052E008,8.099E+3,
2.056E008,8.177E+3,
2.06E08,8.075E+3,
2.064E008,8.295E+3,
2.068E008,7.970E+3,
2.072E008,8.020E+3,
2.076E008,8.024E+3,
2.08E08,8.114E+3,
2.084E008,8.089E+3,
2.088E008,8.020E+3,
2.092E008,7.928E+3,
2.096E008,8.327E+3,
2.1E08,8.039E+3,
2.104E008,8.071E+3,
2.108E008,8.299E+3,
2.112E008,8.136E+3,
2.116E008,7.796E+3,
2.12E08,8.056E+3,
2.124E008,7.956E+3,
2.128E008,8.018E+3,
2.132E008,8.161E+3,
2.136E008,7.990E+3,
2.14E08,7.978E+3,
2.144E008,7.947E+3,
2.148E008,8.131E+3,
2.152E008,8.090E+3,
2.156E008,8.109E+3,
2.16E08,8.099E+3,
2.164E008,8.079E+3,
2.168E008,8.000E+3,
2.172E008,7.903E+3,
2.176E008,7.803E+3,
2.18E08,8.044E+3,
2.184E008,8.028E+3,
2.188E008,8.223E+3,
2.192E008,8.036E+3,
2.196E008,7.895E+3,
2.2E08,8.026E+3,
2.204E008,8.115E+3,
2.208E008,8.022E+3,
2.212E008,8.048E+3,
2.216E008,8.087E+3,
2.22E08,8.007E+3,
2.224E008,7.877E+3,
2.228E008,7.975E+3,
2.232E008,8.098E+3,
2.236E008,8.060E+3,
2.24E08,7.903E+3,
2.244E008,8.164E+3,
2.248E008,7.991E+3,
2.252E008,7.849E+3,
2.256E008,7.999E+3,
2.26E08,8.130E+3,
2.264E008,8.139E+3,
2.268E008,8.087E+3,
2.272E008,7.991E+3,
2.276E008,8.050E+3,
2.28E08,7.950E+3,
2.284E008,8.023E+3,
2.288E008,7.970E+3,
2.292E008,7.891E+3,
2.296E008,7.973E+3,
2.3E08,8.188E+3,
2.304E008,7.794E+3,
2.308E008,8.065E+3,
2.312E008,8.008E+3,
2.316E008,8.007E+3,
2.32E08,7.973E+3,
2.324E008,8.105E+3,
2.328E008,8.072E+3,
2.332E008,8.045E+3,
2.336E008,8.181E+3,
2.34E08,8.212E+3,
2.344E008,8.117E+3,
2.348E008,8.203E+3,
2.352E008,8.133E+3,
2.356E008,7.989E+3,
2.36E08,8.061E+3,
2.364E008,7.987E+3,
2.368E008,8.031E+3,
2.372E008,7.922E+3,
2.376E008,7.955E+3,
2.38E08,8.109E+3,
2.384E008,8.007E+3,
2.388E008,8.216E+3,
2.392E008,7.970E+3,
2.396E008,7.992E+3,
2.4E08,7.805E+3,
2.404E008,8.062E+3,
2.408E008,7.890E+3,
2.412E008,8.065E+3,
2.416E008,8.076E+3,
2.42E08,8.002E+3,
2.424E008,7.947E+3,
2.428E008,7.912E+3,
2.432E008,7.983E+3,
2.436E008,7.946E+3,
2.44E08,7.979E+3,
2.444E008,8.000E+3,
2.448E008,8.181E+3,
2.452E008,7.955E+3,
2.456E008,8.094E+3,
2.46E08,7.947E+3,
2.464E008,7.919E+3,
2.468E008,8.233E+3,
2.472E008,8.047E+3,
2.476E008,7.842E+3,
2.48E08,8.066E+3,
2.484E008,8.096E+3,
2.488E008,8.119E+3,
2.492E008,7.831E+3,
2.496E008,8.161E+3,
2.5E08,8.094E+3,
2.504E008,8.086E+3,
2.508E008,7.987E+3,
2.512E008,8.048E+3,
2.516E008,8.123E+3,
2.52E08,8.090E+3,
2.524E008,8.009E+3,
2.528E008,7.917E+3,
2.532E008,8.043E+3,
2.536E008,8.125E+3,
2.54E08,8.017E+3,
2.544E008,8.096E+3,
2.548E008,7.860E+3,
2.552E008,7.945E+3,
2.556E008,8.031E+3,
2.56E08,7.944E+3,
2.564E008,7.893E+3,
2.568E008,8.029E+3,
2.572E008,8.087E+3,
2.576E008,8.118E+3,
2.58E08,8.125E+3,
2.584E008,7.859E+3,
2.588E008,7.999E+3,
2.592E008,8.243E+3,
2.596E008,8.051E+3,
2.6E08,8.036E+3,
2.604E008,8.005E+3,
2.608E008,8.082E+3,
2.612E008,8.010E+3,
2.616E008,8.032E+3,
2.62E08,8.056E+3,
2.624E008,7.976E+3,
2.628E008,7.996E+3,
2.632E008,8.089E+3,
2.636E008,7.923E+3,
2.64E08,8.143E+3,
2.644E008,8.046E+3,
2.648E008,8.020E+3,
2.652E008,8.070E+3,
2.656E008,7.702E+3,
2.66E08,7.879E+3,
2.664E008,7.910E+3,
2.668E008,7.871E+3,
2.672E008,7.954E+3,
2.676E008,8.003E+3,
2.68E08,7.995E+3,
2.684E008,8.173E+3,
2.688E008,7.889E+3,
2.692E008,7.899E+3,
2.696E008,7.889E+3,
2.7E08,8.055E+3,
2.704E008,8.106E+3,
2.708E008,7.906E+3,
2.712E008,8.134E+3,
2.716E008,7.794E+3,
2.72E08,7.983E+3,
2.724E008,8.053E+3,
2.728E008,7.948E+3,
2.732E008,8.010E+3,
2.736E008,8.039E+3,
2.74E08,8.068E+3,
2.744E008,8.022E+3,
2.748E008,8.023E+3,
2.752E008,8.063E+3,
2.756E008,7.871E+3,
2.76E08,7.872E+3,
2.764E008,8.064E+3,
2.768E008,7.847E+3,
2.772E008,8.031E+3,
2.776E008,7.880E+3,
2.78E08,7.923E+3,
2.784E008,7.892E+3,
2.788E008,7.958E+3,
2.792E008,8.077E+3,
2.796E008,7.908E+3,
2.8E08,8.110E+3,
2.804E008,7.782E+3,
2.808E008,7.865E+3,
2.812E008,7.927E+3,
2.816E008,8.003E+3,
2.82E08,7.966E+3,
2.824E008,7.780E+3,
2.828E008,7.666E+3,
2.832E008,8.046E+3,
2.836E008,8.038E+3,
2.84E08,8.012E+3,
2.844E008,8.108E+3,
2.848E008,7.974E+3,
2.852E008,7.944E+3,
2.856E008,7.962E+3,
2.86E08,8.079E+3,
2.864E008,8.012E+3,
2.868E008,8.023E+3,
2.872E008,7.793E+3,
2.876E008,7.849E+3,
2.88E08,7.962E+3,
2.884E008,8.071E+3,
2.888E008,7.895E+3,
2.892E008,7.956E+3,
2.896E008,7.858E+3,
2.9E08,7.904E+3,
2.904E008,7.687E+3,
2.908E008,7.913E+3,
2.912E008,7.996E+3,
2.916E008,8.095E+3,
2.92E08,8.117E+3,
2.924E008,7.957E+3,
2.928E008,8.002E+3,
2.932E008,8.021E+3,
2.936E008,7.947E+3,
2.94E08,7.955E+3,
2.944E008,7.895E+3,
2.948E008,7.953E+3,
2.952E008,7.932E+3,
2.956E008,7.775E+3,
2.96E08,7.907E+3,
2.964E008,7.989E+3,
2.968E008,7.908E+3,
2.972E008,7.928E+3,
2.976E008,8.016E+3,
2.98E08,7.921E+3,
2.984E008,7.921E+3,
2.988E008,7.908E+3,
2.992E008,8.155E+3,
2.996E008,7.855E+3,
3E08,7.889E+3,
3.004E008,7.942E+3,
3.008E008,7.954E+3,
3.012E008,8.066E+3,
3.016E008,7.944E+3,
3.02E08,7.876E+3,
3.024E008,7.940E+3,
3.028E008,7.894E+3,
3.032E008,7.937E+3,
3.036E008,7.926E+3,
3.04E08,7.815E+3,
3.044E008,7.868E+3,
3.048E008,7.896E+3,
3.052E008,7.936E+3,
3.056E008,7.910E+3,
3.06E08,7.777E+3,
3.064E008,7.807E+3,
3.068E008,8.079E+3,
3.072E008,8.012E+3,
3.076E008,7.870E+3,
3.08E08,7.887E+3,
3.084E008,7.827E+3,
3.088E008,8.038E+3,
3.092E008,8.119E+3,
3.096E008,8.011E+3,
3.1E08,7.913E+3,
3.104E008,7.945E+3,
3.108E008,7.914E+3,
3.112E008,7.902E+3,
3.116E008,7.872E+3,
3.12E08,8.012E+3,
3.124E008,7.860E+3,
3.128E008,7.890E+3,
3.132E008,8.121E+3,
3.136E008,7.930E+3,
3.14E08,7.833E+3,
3.144E008,7.883E+3,
3.148E008,7.969E+3,
3.152E008,8.094E+3,
3.156E008,8.030E+3,
3.16E08,7.973E+3,
3.164E008,8.047E+3,
3.168E008,7.877E+3,
3.172E008,7.798E+3,
3.176E008,8.019E+3,
3.18E08,7.775E+3,
3.184E008,7.817E+3,
3.188E008,7.764E+3,
3.192E008,8.063E+3,
3.196E008,7.947E+3,
3.2E08,7.907E+3,
3.204E008,8.019E+3,
3.208E008,7.948E+3,
3.212E008,7.911E+3,
3.216E008,7.965E+3,
3.22E08,7.902E+3,
3.224E008,7.764E+3,
3.228E008,7.861E+3,
3.232E008,7.999E+3,
3.236E008,7.749E+3,
3.24E08,7.812E+3,
3.244E008,7.937E+3,
3.248E008,8.054E+3,
3.252E008,8.029E+3,
3.256E008,8.120E+3,
3.26E08,8.068E+3,
3.264E008,7.953E+3,
3.268E008,7.890E+3,
3.272E008,7.729E+3,
3.276E008,8.136E+3,
3.28E08,7.912E+3,
3.284E008,7.900E+3,
3.288E008,7.931E+3,
3.292E008,7.956E+3,
3.296E008,8.088E+3,
3.3E08,7.948E+3,
3.304E008,7.864E+3,
3.308E008,7.979E+3,
3.312E008,7.998E+3,
3.316E008,7.882E+3,
3.32E08,7.792E+3,
3.324E008,7.923E+3,
3.328E008,7.822E+3,
3.332E008,7.868E+3,
3.336E008,7.909E+3,
3.34E08,7.925E+3,
3.344E008,7.909E+3,
3.348E008,7.974E+3,
3.352E008,7.892E+3,
3.356E008,7.939E+3,
3.36E08,7.926E+3,
3.364E008,7.686E+3,
3.368E008,7.824E+3,
3.372E008,7.902E+3,
3.376E008,7.912E+3,
3.38E08,7.828E+3,
3.384E008,7.966E+3,
3.388E008,7.987E+3,
3.392E008,7.901E+3,
3.396E008,7.996E+3,
3.4E08,7.979E+3,
3.404E008,7.890E+3,
3.408E008,8.077E+3,
3.412E008,8.007E+3,
3.416E008,8.024E+3,
3.42E08,8.020E+3,
3.424E008,7.917E+3,
3.428E008,7.775E+3,
3.432E008,7.849E+3,
3.436E008,7.988E+3,
3.44E08,7.975E+3,
3.444E008,7.967E+3,
3.448E008,7.863E+3,
3.452E008,7.814E+3,
3.456E008,7.932E+3,
3.46E08,7.923E+3,
3.464E008,7.888E+3,
3.468E008,8.061E+3,
3.472E008,7.933E+3,
3.476E008,7.941E+3,
3.48E08,7.907E+3,
3.484E008,7.856E+3,
3.488E008,8.013E+3,
3.492E008,7.984E+3,
3.496E008,7.735E+3,
3.5E08,7.858E+3,
3.504E008,7.989E+3,
3.508E008,7.947E+3,
3.512E008,7.862E+3,
3.516E008,7.787E+3,
3.52E08,7.906E+3,
3.524E008,7.949E+3,
3.528E008,7.887E+3,
3.532E008,7.729E+3,
3.536E008,8.018E+3,
3.54E08,7.907E+3,
3.544E008,7.994E+3,
3.548E008,7.847E+3,
3.552E008,7.887E+3,
3.556E008,7.801E+3,
3.56E08,7.693E+3,
3.564E008,7.712E+3,
3.568E008,7.984E+3,
3.572E008,8.054E+3,
3.576E008,7.940E+3,
3.58E08,7.897E+3,
3.584E008,8.045E+3,
3.588E008,8.067E+3,
3.592E008,7.917E+3,
3.596E008,8.047E+3,
3.6E08,8.005E+3,
3.604E008,7.992E+3,
3.608E008,7.784E+3,
3.612E008,7.882E+3,
3.616E008,7.932E+3,
3.62E08,7.681E+3,
3.624E008,7.844E+3,
3.628E008,7.864E+3,
3.632E008,7.899E+3,
3.636E008,7.728E+3,
3.64E08,7.998E+3,
3.644E008,7.838E+3,
3.648E008,7.835E+3,
3.652E008,8.084E+3,
3.656E008,7.903E+3,
3.66E08,7.988E+3,
3.664E008,7.964E+3,
3.668E008,7.926E+3,
3.672E008,8.053E+3,
3.676E008,7.949E+3,
3.68E08,7.716E+3,
3.684E008,8.100E+3,
3.688E008,7.768E+3,
3.692E008,7.932E+3,
3.696E008,7.958E+3,
3.7E08,7.978E+3,
3.704E008,7.801E+3,
3.708E008,7.968E+3,
3.712E008,8.072E+3,
3.716E008,7.868E+3,
3.72E08,7.999E+3,
3.724E008,7.849E+3,
3.728E008,7.999E+3,
3.732E008,7.745E+3,
3.736E008,7.787E+3,
3.74E08,7.976E+3,
3.744E008,7.834E+3,
3.748E008,7.817E+3,
3.752E008,7.718E+3,
3.756E008,8.006E+3,
3.76E08,8.188E+3,
3.764E008,7.713E+3,
3.768E008,7.886E+3,
3.772E008,7.719E+3,
3.776E008,7.841E+3,
3.78E08,7.950E+3,
3.784E008,7.914E+3,
3.788E008,7.996E+3,
3.792E008,8.004E+3,
3.796E008,8.020E+3,
3.8E08,7.797E+3,
3.804E008,7.737E+3,
3.808E008,7.877E+3,
3.812E008,7.873E+3,
3.816E008,8.149E+3,
3.82E08,7.912E+3,
3.824E008,7.788E+3,
3.828E008,7.792E+3,
3.832E008,7.843E+3,
3.836E008,7.885E+3,
3.84E08,8.066E+3,
3.844E008,7.965E+3,
3.848E008,8.075E+3,
3.852E008,7.881E+3,
3.856E008,7.931E+3,
3.86E08,7.843E+3,
3.864E008,7.976E+3,
3.868E008,7.875E+3,
3.872E008,7.795E+3,
3.876E008,8.048E+3,
3.88E08,7.774E+3,
3.884E008,7.861E+3,
3.888E008,7.830E+3,
3.892E008,7.847E+3,
3.896E008,7.904E+3,
3.9E08,8.011E+3,
3.904E008,7.885E+3,
3.908E008,7.896E+3,
3.912E008,8.150E+3,
3.916E008,7.940E+3,
3.92E08,7.852E+3,
3.924E008,7.728E+3,
3.928E008,8.046E+3,
3.932E008,7.765E+3,
3.936E008,8.065E+3,
3.94E08,7.751E+3,
3.944E008,7.850E+3,
